,Tweets
9156,"As local government begins to grapple with declining tax revenue stemming from the coronavirus pandemic, Kitsap County courts are feeling the pinch but anticipate next year being worse. https://t.co/sJqpNDyeXV"
9157,"Right now, as a pandemic sweeps through America, our prisoners are the most at risk, and they are dying in their cells, because they lack access to medical care, or the ability to properly get PPE, or social distance.

Human rights abuses aren't just in China. They're right here."
9158,"@Balance510 @ActionNiven ... all of that productivity in the middle of a pandemic, so it's like 12 pilots/features in normal life!"
9159,"@RogerPielkeJr @MunichRe I see it: ""A total of 2,900 people lost their lives in natural disasters in the first half of the year, much lower than the average figures for both the last 30 years and the last 10 years."" Do you think pandemic lockdown might play a role? Or more randomness?"
9160,i wish we could go back to 2012 when the only pandemic we had was one direction infection
9161,"TX families: The deadline to apply for the one-time P-EBT payment is July 31, 2020. To learn more about eligibility and how to apply, visit: https://t.co/C9ovnIQCeA. https://t.co/ZDJFuImiYN"
9162,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9163,@statesman @GovAbbott The pandemic is over
9164,"People have lost their  jobs, struggled mentally, or have caught the virus during this pandemic. I haven’t experienced any of those, and that’s all Glory to God🙏🏼💚🙌🏼"
9165,Me outside the gym trying to convince management to let me in during this pandemic https://t.co/H3C1qPjTv2
9166,"whenever pandemic is over, pri &amp; deepu on their way to mumbai police for the investigation 
*alexa play pinga 
 https://t.co/L8KAvnfGd1 https://t.co/1Bhxzc271Q"
9167,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9168,"Cost of preventing next pandemic 'equal to just 2% of #COVID19 economic damage' 

Two new viruses a year spill from wildlife into humans, scientists say: risks now are higher than ever

World must protect nature now and stop future outbreaks

Story by me
https://t.co/YOxWiDpeaY"
9169,What happens if schools don’t open? What happens to the kids who rely on schools for educational tools &amp; meals? What happens when working parents are unable to stay home with their children? These families deserve options. Sign our petition now. https://t.co/glLG37conV
9170,Taylor Swift out here really doing the most during a pandemic https://t.co/nX1qBVvwgt
9171,Typical case of misplaced priorities &amp; waste of public money during #pandemic! Facelift to a white elephant which will not even meet 25 days in year? 7 Crore to be spent on construction when need of hour is virtual assembly &amp; strengthening online systems!No #austerity for GSIDC? https://t.co/sIBGDJQwQi
9172,"1/ This is important for everyone to know. Since #COVID19 was declared a global pandemic on March 11, 2020, Carlingview Manor #LTC run by @Revera_Inc and other LTCHs have been on outbreak on and off. The longest stretch on outbreak was 100+ consecutive days."
9173,"With more than 1000 deaths in last 24 hours , the pandemic continues to surge while the government is pretending nothing has happened 

Decisive Governance is missing when the nation needs it most 2/n"
9174,"President #Ramaphosa: My fellow South Africans,
 
I wish to address you this evening on two matters that are of great interest and concern to South Africans as we struggle to overcome the coronavirus pandemic.
 
#StaySafe #CoronaVirusSA"
9175,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9176,Opinion: Trump wants the elderly to fear rioters more than the pandemic he disastrously mismanaged https://t.co/4sWBLTNIvz
9177,"If you didn’t know there was an Irish indie-rock band called ⁦@TheCoronas⁩ , you certainly won’t forget their name now... But they actually got their name from one of my favorite movies, #AlmostFamous... https://t.co/hjv4JNZuF3"
9178,"Visiting Hawaii is NOT a good idea during a pandemic.

Again, I repeat:
Visiting Hawaii is NOT a good idea during a pandemic."
9179,@NZJulieMarshall You don’t know my family. This pandemic is not unprecedented. What is unprecedented is the massively draconian government reactions to it.
9180,"Defunding the USPS, mass evictions leading to homelessness right before an election that will be dependent on mail on ballots because of a pandemic that they will use as an excuse to close polling stations— how easy is it to vote if you’re unhoused? Anyways good morning!"
9181,Imagine fighting corruption mid pandemic
9182,"Dyson cuts 900 jobs claiming #COVID19 is to blame.
Personally, I don’t think people have reduced their use of vacuum cleaners or hairdryers in the pandemic.
Perhaps the more likely cause is #brexit but that would be rather inconvenient for Brexiter Dyson?
https://t.co/eCA7sPB4id"
9183,"Cost of preventing next pandemic 'equal to just 2% of #COVID19 economic damage' 

Two new viruses a year spill from wildlife into humans, scientists say: risks now are higher than ever

World must protect nature now and stop future outbreaks

Story by me
https://t.co/YOxWiDpeaY"
9184,COVID-19:  Pandemic in the World of Work: The ILO Global Summit Highlights: COVID-19 and the World of Work ⁦@annabeyondme⁩ ⁦@ilo⁩ ⁦@ILOACTRAV⁩ ⁦@ILO_Research⁩  https://t.co/B3XFtfYXYF
9185,"the person to blame for you working an $11/hr job during a pandemic with no hazard pay isn’t the mother of three getting $600 of unemployment a week, it’s the guy who just made an extra $2 billion while you took ur lunch break"
9186,Thank you to the international community for meeting with me and commending President Muhammadu Buhari's Economic Sustainability Plan. It is the administration's response to the COVID-19 pandemic. https://t.co/ZYPXcH4DAb
9187,"Even in the midst of a pandemic and economic crisis, Chairman Nadler and the Judiciary Committee Democrats are wasting critical time to take shameless political jabs at @realDonaldTrump and his administration. Enough is enough! https://t.co/SJrzgbcO1K"
9188,My employer gave us a hazard pay which stopped last week. That hazard pay was $1. Literally went from $13 an to $14 for about 6 weeks during the pandemic. I am upset at my employer and government. Not the people getting the assistance they SHOULD be provided during a crisis
9189,"I'm honored. But credit goes to @Albertadoctors for their tireless advocacy, and all the doctors uniting to stand up for the profession and their patients - against the pandemic our generation and also the most hostile government towards public healthcare AB has ever seen. #AbLeg https://t.co/AkORLUeJRa"
9190,"Nicola Sturgeon, Scotland’s first minister, said: “I don’t think any of us should be championing or celebrating a pandemic that has taken thousands of lives as some example of the pre-existing political case we want to make.”"
9191,Yes I’m basing my worth on my success at 23 years old in the midst of a pandemic what about it
9192,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9193,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9194,"Govt should stop their constant thing on conducting exams and should start focusing on controlling the pandemic.
#ExamsInCovidASuicide"
9195,"Maintaining strong, community-based #primarycare is more important than ever. Telemedicine is one solution that can sustain communities’ access to care and providers’ access to revenue throughout the pandemic. 

Join us for today's #PrimaryCareCOVIDChat on #Telehealth at 3pm EST! https://t.co/AYbWeYaDwx"
9196,"in any case, it's true that human behaviour determines whether we survive the pandemic, more than the nature of the infection itself"
9197,Slowing deforestation and limiting the wildlife trade might help stop the next pandemic before it starts. https://t.co/SSjXb4KvH4
9198,"Oops, don’t you hate it when that happens? New 4000-word #Vatican document on Coronavirus forgets to mention God, Jesus Christ, Church, Gospel, Bible, or sacraments. https://t.co/l9jgCPXdxo They only had enough space to mention the essentials, huh? #CatholicTwitter #catholic"
9199,"@EGProPhoto Yes, i was looking to visit this year before the pandemic."
9200,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9201,"Medical Alley startups achieve ‘relatively normal’ funding despite pandemic – MassDevice 

READ MORE: https://t.co/Gp2xXtqLKk

#Billion #business #Commerce #Company #Economics #Economy #Entrepreneur #Entrepreneurship #Founder #Funding~ https://t.co/hT3ajsLQd9"
9202,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9203,"To avoid sending their kids to school as the coronavirus pandemic rages on, some parents are joining together to hire teachers to instruct their children in smaller groups. 

But many parents don’t have the money for that. #txed https://t.co/Bi2i8NOj0n https://t.co/QboC9ZVmjp"
9204,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9205,@TrekCore It would be so good if we had been able to watch season 3 during this damn pandemic.
9206,"Jeff bezos could give half of his net worth away today and he would still be a BILLIONAIRE, the single mom getting $600 while she’s on unemployment during a GLOBAL pandemic isn’t the problem .."
9207,@TheTeddyDanson Yeah I’m bitter at the situation but in an active pandemic I guess there’s gonna be decisions made that aren’t ideal
9208,What level of evil do you have to be to loot relief funds during a pandemic?
9209,"The media have claimed over the past three months:
1. Cuomo was great;
2. Seattle's CHOP and Portland were paradisical;
3. Mass riots were no biggie;
4. Enormous BLM protests provided no health risk in the midst of a pandemic.
I can't imagine why they have a credibility gap."
9210,"Please help students of BITS Pilani. They are struggling against a inhuman Unjustified fee hike by the institute in this pandemic time.
#FeesKamKarona #BITSbachao #rollbackbitsfee 
@PMOIndia @aajtak @ABPNews @News24 @ashokgehlot51 @HRDMinistry"
9211,"“More people are on track to be hospitalized with the coronavirus in the United States than at any point in the pandemic, a disturbing sign of how the current surge has spread widely and is seriously sickening as many people as ever.” https://t.co/VoqBAOKnFk"
9212,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9213,"When dozens &amp; hundreds die in some countries during a pandemic and dozens &amp; hundreds OF THOUSANDS die in the US it is because we don’t give enough weight to those second virtues.

Are we willing to pay a 1000x tax on human life for our freedom? 5/"
9214,"@IvankaTrump @WhiteHouse @SenGardner Gosh Princess Ivanka you are SOOO lucky!  you get to get dressed up &amp; travel  - even while so many around you are dying and or battling this thing called a pandemic or trying to decide to pay a bill, rent or eat.  But you, you just go have a great day today!"
9215,"I'm honored. But credit goes to @Albertadoctors for their tireless advocacy, and all the doctors uniting to stand up for the profession and their patients - against the pandemic our generation and also the most hostile government towards public healthcare AB has ever seen. #AbLeg https://t.co/AkORLUeJRa"
9216,"Let's be clear: Trump is now trying to scare seniors who rightly fear getting killed by the pandemic he disastrously screwed up into instead fearing death from criminals in a Biden police-free dystopia that's entirely invented. But it's failing. New piece:
https://t.co/PDdbg95xcl"
9217,@muhammadepf i’m doing toefl since my college doesn’t accept any other exam but that. but honestly i was gonna just do the exam they have at the uni since toefl kept getting cancelled bc of the pandemic.
9218,"“Let’s ‘Deploy This Army Of Goodwill’: Congress Must Expand National Service In Response To The Pandemic”

The #CORPSAct could be a lifeline for communities hardest hit by #COVID19. This is why I #Stand4Service
https://t.co/QYAdxz0BD8"
9219,"Bringing people to caught, in a pandemic, to tell them their case is adjourned. Genius.

If one positive comes out of this pandemic it’ll hopefully be a realisation we can do things administratively or remotely. https://t.co/468rLlf14f"
9220,"As we transition to the “rebound” phase of the COVID-19 global pandemic, the tourism industry is facing the question: what will the “new normal” look like, and what is our “re-opening” strategy? https://t.co/RgQblSne9c
@KetchumPR"
9221,Taylor Swift out here really doing the most during a pandemic https://t.co/nX1qBVvwgt
9222,@realDonaldTrump Why doesn't it surprise me that you'd try kill social security and medicare in the middle of an economic crisis brought on by the world's worst response to a pandemic?
9223,"“In my view, the purpose of education is not simply to get a job. It is about becoming an informed and engaged citizen. Education equips people for their careers and lives, which in turn benefits our society, democracy and economy.” EducationMinister Wales https://t.co/Og4JF6H8Lo"
9224,These guys were in 2023 but they didn’t tell us about covid-19 pandemic 😤 https://t.co/iVNsf3LmgX
9225,"IF THE U.S. MEDIA CAN’T EVEN CONVINCE CITIZENS TO WEAR FACE MASKS IN THE MIDDLE OF A SARS PANDEMIC...

MUST ALSO CONSIDER POSSIBILITY THE MEDIA IS OVERESTIMATING ITS ABILITY TO CONVINCE CITIZENS TO VOTE FOR SOMEONE LIKE JOE BIDEN."
9226,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9227,"#ShameonIndiabulls
#justice4IBemployees

Breaking news
Still after 73 years of our Independence, companies like Indiabulls treating employees like a bondage, they unlawfully terminated thousands of innocent employees during the global pandemic"
9228,"31 STUDENTS FROM DIFFERENT UNIVERSITIES ACROSS INDIA FROM 13 STATES AND 1 UNION TERRITORY MOVES SUPREME COURT TO SEEK RELIEF 
ONE OF THE STUDENT IS COVID POSITIVE AND SEEKING JUSTICE DURING THIS PANDEMIC.
THESE STUDENTS HAVE CHALLENGED THE UGC GUIDELINES"
9229,"#21ActsOfGoodness aims to address the impact of the #Covid19 pandemic and the challenges it has presented to the Matric class of 2020.
 
The constraints of the pandemic have added to the challenges that usually signify a matric year – studying for exams, cramming, late nights"
9230,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9231,"🚁 Boris Johnson visited Scotland today, during the pandemic, to talk about the “sheer might” of the Union.

📣 @NicolaSturgeon: “None of us should be crowing about this pandemic in a political sense.” https://t.co/FdXBCvDwko"
9232,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9233,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9234,Aowa le ge bare letswai la pandemic https://t.co/1k14LUbxwF
9235,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9236,"Yesterday, I kept thinking: I hope someone writes about this guy's bowtie. Turns out someone did. https://t.co/0BBwpwcjKk"
9237,@GOP get your shit together!  Stop giving the unemployed buckets of money to the point where they’re making more than they would be if they were working and take care of the people that actually had to keep working through this pandemic.  Your just as bad as the liberals
9238,RT @alanyang The pandemic has exposed a terrible strain of anti-Asian sentiment all over the country. I worked with the @adcouncil to shoot this piece remotely and raise awareness. Please share and help stop the spread of anti-Asian racism. https://t.co/FAYsAqWTK6
9239,"Pro football players play a very dangerous sport. They're  being asked to play during a pandemic. Oh, and most of their contracts aren't guaranteed! So I wrote for @TheUndefeated about how the NFL can and should guarantee contracts. 

https://t.co/mDJi9RtKMx"
9240,"Medicaid is a LIFELINE for working families, communities of color, individuals with disabilities, and people seeking addiction treatment.
 
It’s especially critical during a pandemic.
 
Just like this GIF, protecting Medicaid will never get old. #FundMedicaid #ProtectMedicaid https://t.co/iDkU8f9sVZ"
9241,"Opinion: Liz Cheney has been a consistent voice for taking the pandemic seriously and wearing masks, and has defended Anthony Fauci.

Can anyone doubt that if Trump had taken her tack, he’d be in a stronger position today?
https://t.co/8fDeuhVOzt"
9242,i wish we could go back to 2012 when the only pandemic we had was one direction infection
9243,"Remember while decisions are being made, superintendents are doing the best they can with ever changing information. Not one ever anticipated making decisions about the best way to educate students and keep everyone on campus safe during a pandemic. @egmackey #PrayForYourLeaders https://t.co/FT4q5HfONJ"
9244,"In spite of various high courts and SC holding that no ex parte order can be passed during global pandemic of Covid-19, many CIT[A]s have started issuing notices of hearings and some have gone to the extent of mentioning that this is last chance for submissions"
9245,What level of evil do you have to be to loot relief funds during a pandemic?
9246,"Thanks to a pandemic, we now know that it turns out that almost every one of those unmissable conferences and summer festivals were actually very missable in the end."
9247,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9248,"Science library student employees are building face shields with 3-D printers for library staff amid the COVID-19 pandemic. 

Melissa Galvan feels especially passionate about this project for her community. Check out her story and more here: https://t.co/HUjDstDikz https://t.co/i32hq8GDFf"
9249,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9250,Eat the rich isn’t about eating your dad who made 150k last year its about eating the billionaires who became trillionaires during a global pandemic while millions of people had to choose whether to eat or pay rent PERIODTTTTTT
9251,"Everyone should look at the CDC data on Coronavirus. You will see they still get numbers. Notice how the DEATH COUNT works. This is no longer a ""pandemic"". The narrative is DEAD. Science wins over the Bill Gates of Hell.
https://t.co/1ABebizljU"
9252,Taylor Swift out here really doing the most during a pandemic https://t.co/nX1qBVvwgt
9253,"Imagine how galactically broken you’d have to be to think that the success of your national briefings about a deadly pandemic is measured by your television ratings as opposed to the corpses of 140,000 dead Americans you helped kill. https://t.co/yIrDBtkWlr"
9254,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9255,Aowa le ge bare letswai la pandemic https://t.co/1k14LUbxwF
9256,"Part 1 of 2-part interview w/@paulouismetzger on the #MeToo/#ChurchToo pandemic. 
""Coronavirus isn't the only pandemic currently destroying human lives."" 
We face a huge challenge in combatting &amp; preventing the spread of more than 1 pandemic at a time. https://t.co/tNBsfH56bS"
9257,"52,000,000 Americans Unemployed
4,000,000 US Covid-19 cases
146,000 Dead Americans

ALL Because of @RealDonaldTrump and his inept, incompetent, indecisive response to the pandemic."
9258,Didn’t get any unemployment so I applied for the pandemic unemployment assistance for people who couldn’t get regular unemployment on April 26th. It said it would take up to 30 days to process and still haven’t heard back or gotten 1 cent!!
9259,"idk which american needs to hear this but:

you're not being starved in yemen, you weren't bombed in iraq, you're not in an ice detention center, and the crackers making these posts aren't dealing with antiblackness either. you are the antiblackness. just talk about the pandemic."
9260,Spooky themed pandemic art by Rüttu https://t.co/tQgAczq3O9
9261,BREAKING NEWS: A federal judge has confirmed that the plot to imprison Michael Cohen during the pandemic to keep him from publishing a tell-all book about the president before the 2020 election was just what we thought it was. The odds of the book's publication just skyrocketed. https://t.co/L8YzWUVGMM
9262,"We’ve kept our promises. We have recruited thousands of nurses &amp; police officers, and invested billions more in our NHS &amp; schools. 
 
Of course there is much more to do. As we begin to recover from this pandemic, we will not lose sight of the country we have promised to build 🇬🇧 https://t.co/ycz2pv0T3q"
9263,When the lakers lose in the semis during a pandemic &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; https://t.co/X9Lv7cLjqG
9264,"Pandemic R Business?Pvt Ambulance charging 20k 2 ferry patients for 18km in #bengaluru. @drashwathcn assures govt will allocate min 2 ambulances in 198 wards. Ambulance company justify tat drivers r paid double d salary, PPE Kit &amp; covered under insurance.

https://t.co/UAYc8swksn"
9265,"@i_amivysan @Princeponfa Nobody is certain if this is the last wave of this virus. We are not sure if like the previous pandemic there will be another wave of the disease. However, China has been able to contain this virus despite it's large population. Will that mean they are more resilient? 

#AmbChat"
9266,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9267,@ChloeTeboe @newscentermaine Not a pick-me-up. She's 84 &amp; should not have to do manual labor during a pandemic.
9268,Post-grad life during a pandemic is not for the weak. Job or not. And this is not to say you’re gonna have “post grad depression” but you are going to have thoughts of insufficiency sometimes. And that’s me being straight up.
9269,happy 1 month to timmy and eiza ignoring the pandemic to go on holiday 😻❤️ https://t.co/mokO7WHLTk
9270,"USCIRF @CommrBhargava: ""Reports that Indian authorities are indefinitely and unlawfully detaining women and men for speaking out in support of #religiousfreedom or for their religious beliefs - in the midst of the #COVID19 pandemic - are deeply troubling."" https://t.co/jQmd04eElH"
9271,"Honestly this is the move

Dissolve all teachers unions. Let them see what it's like for Americans right now who don't have the luxury of a job waiting for them during a pandemic. https://t.co/fMW34HeOMz"
9272,"Before the pandemic, 1in8 5-19 year olds in England had a diagnosable mental health condition, but there is growing evidence that lockdown has had a major  impact. Our CYP’s MH briefing calls for integrated, local approaches to recovery. https://t.co/SC7ZYEfEqg"
9273,"like people are out here getting $600 extra a week or $5,000 in back pay for doing absolutely nothing and spending it recklessly on clothes and jewelry and shit when I’ve been working this whole pandemic putting my health and my fam health at risk for NO extra money?? WTF"
9274,How’s the hunt going for that dream career? Don’t let this pandemic keep you from pursuing it. Just take a look at all the job openings in IISE’s Career Center – the job center hub for ISEs. Job seekers can even sign up for alerts. Learn more at: https://t.co/ToPT43sT6u https://t.co/0xYI6u6Iye
9275,"@VenturerUK If I could be anywhere in the world right now it would be in Wexford, Pennsylvania where my son and his family live. We haven't been able to see them for such a long time and 2 flights have been cancelled due to the Pandemic!"
9276,Taylor's dropping... not another pandemic 😖
9277,"@USDOL The $600 per week PEUC needs to be extended. Not cut. 
And we need a universal income for all households through this pandemic. This is the worst debacle I've ever seen in my life.

Holy shit. It can't get any dumber than this."
9278,Kevin in case you didn't know. We are going through a pandemic. We are restricting movement of people as it spreads the virus. Opening the tourism industry needs the movement of people to function. We cannot do that unless you want the number of infections to rise. Stop going on. https://t.co/2qifamOLyi
9279,"Watch the whole thing, it's the funniest thing I have ever seen. Holy shit, I can't breathe. The man has a global pandemic, 20 million jobless, people are hurting... ""person, woman, man, camera, tv,""  Oh yeah, I'm changing my vote, Trump 2020, hahahah, holy shit. I'm dying. https://t.co/5um9vn2VTA"
9280,i wish we could go back to 2012 when the only pandemic we had was one direction infection
9281,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9282,"Parks and public spaces have seen the highest use during pandemic, but key businesses that support the industry have been hit the hardest. Hopefully new funding solutions can help both. 
@ORRoundtable https://t.co/nxvNvIplqA"
9283,"Apparently, that mak cik 'gelang pink' is my grandmother's best friend and she planned to visit my grandma after her trip to UK. Fortunately, my grandma is aware of this pandemic and refused her visit. May Allah protect us all 🤍✊🏻"
9284,"This Mataji From Pune Is 75Years Old, She Shows Her Lathi Skills On The Roads Of Pune For Her Survival.

Even During This Lockdown And Pandemic She Is Forced To Do It As It Seems She Don't Have Any Other Source Other Than This Art.

If Anyone Knows About Her Plz Let Us Know.
🙏🙏 https://t.co/dKK4iRTfVY"
9285,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9286,Mitigating #LIBOR risk amid a #pandemic.  Complimentary webinar next week with our friends at @stratagemptrs https://t.co/16pyWZ4e6a
9287,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9288,Papa said he is *still convinced* we will overcome this pandemic. And when he loses hope? https://t.co/s1HspnXyDM
9289,"Even in the midst of a pandemic and economic crisis, Chairman Nadler and the Judiciary Committee Democrats are wasting critical time to take shameless political jabs at @realDonaldTrump and his administration. Enough is enough! https://t.co/SJrzgbcO1K"
9290,"It’s funny how Democrats &amp;Republicans can join forces w/out hesitation to enrich the military industrial complex, but go on months long recess without addressing the needs of the poor, working poor &amp; barely middle class during a global pandemic. Ladies and Gentlemen: The Congress https://t.co/sFv8kliIAw"
9291,"We have locked our little ones at our homes. We owe them an apology for creating a world they didn’t deserve. Give them a tighter hug, enjoy their pranks, read a story at night, add sparkle to their life. This pandemic shall pass. Till then, let’s celebrate our heroes, our kids."
9292,"Corruption in the Philippine state health insurance agency, in the middle of a bloody pandemic. https://t.co/zSL35AZTaj"
9293,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9294,then for what reasons they are delaying??  No one is reliable at service center and Service Centre is just show off nows a days. All are taking a benefit of Cvoid 19 pandemic situation in a wrong way. Very Very Poor. My advice is not to purchase Samsung Products.
9295,"52,000,000 Americans Unemployed
4,000,000 US Covid-19 cases
146,000 Dead Americans

ALL Because of @RealDonaldTrump and his inept, incompetent, indecisive response to the pandemic."
9296,"Lots of utilities stopped shutting off people's power in the early months of the pandemic. 

Now moratoriums are ending -- as temperatures go up and the pandemic isn't going anywhere

https://t.co/utqdeFg8cW"
9297,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9298,Aowa le ge bare letswai la pandemic https://t.co/1k14LUbxwF
9299,"Food For The Poor will bring supporters together for a one-night National Celebration — We Are One, a virtual event that will raise funds to provide more food to families in the Caribbean and Latin America devastated by the pandemic. Read more: https://t.co/oILrsip3R9 https://t.co/ZrrFYOvDns"
9300,"News-MLA of ** area worked for poors in this corona pandemic situation, served some grains announced by Central govt.. Etc etc
Me 😷- 🧐asking RSS SWAYAMSEVAK who's working efficiently hey are you  **(name of my MLA)?
SWAYAMSEVAK-No 
🧐Now where is he? Let me find him on twitter"
9301,"First came the ""pandemic pods,"" now come the ""community learning hubs"" https://t.co/bHn6zgURl3"
9302,"@i_amivysan @Princeponfa Perhaps, I shld mention how the 1918 pandemic steered d world to the present progress man has made thus far, yet there were huge statistical errors. Despite d fundamental differences of our present times, there are a lot of similarities with what happened a century ago

#AmbChat"
9303,It’s disgusting that these teens don’t care that there’s a PANDEMIC going on and they’re having a pool party!! https://t.co/2kLB5B10H5
9304,Most ppl do not realize it is not just the elderly who r vulnerable. There r many of us of all ages w/underlying conditions some more complex then others. This pandemic has placed a great deal of stress on us on all levels. We deserve to be thought of in how to move forward. #CHD https://t.co/sGpc6uUGiE
9305,"WH says Pres Trump spoke today with Russian Pres Putin, discussing ""efforts to defeat the Coronavirus pandemic while continuing to reopen global economies."" Pres Trump also raised concerns about a 3-way arms race with Russia &amp;  China, &amp; hoped for progress at arms talks in Vienna."
9306,"The @CFPB &amp; #FHFA must stand up and #ProtectConsumers during this #pandemic-fueled family financial crisis instead of coddling banks, mortgage companies, servicers, credit bureaus &amp; debt collectors. But the US #Senate must stop blocking the HEROES Act, too. https://t.co/ovo27kFwGq"
9307,"After this Pandemic we should take to ""I Blew It All""....

😯😯O ra gore ba di jile tšohle di billion tšela ka moka"
9308,When you start losing the credibility of your MP colleagues then you know you’ve made a mess of things. Such disparity should never have happened. #ExcludedUK https://t.co/i920CKCpdF
9309,"Andrea Raso, a Vancouver-based employment and human rights lawyer, say personal information requested concerning an employee's travel plans should be as limited as possible while also balancing the need to keep others in the workplace safe. https://t.co/FDlJGLSO9U"
9310,@TruthfulAwaken1 @QtheStorm5 You mean wearing a mask during a pandemic?
9311,"For a group of people who have gleefully elected the phrase ""Fuck your feelings"" as a campaign slogan, the #MAGAts seem to get their feelings hurt over everything, from twitter posts to *gasp* wearing a mask during a pandemic. #TrumpFailedAmerica #VoteBlue"
9312,"Received this beautiful button in the mail from someone in our community, spreading awareness about the importance of face coverings. It's amazing how so many folks have stepped up in this pandemic. https://t.co/QEmxxffS9C"
9313,That was the first money laundering pandemic before Covid https://t.co/vlOQBoEcHx
9314,"The media have claimed over the past three months:
1. Cuomo was great;
2. Seattle's CHOP and Portland were paradisical;
3. Mass riots were no biggie;
4. Enormous BLM protests provided no health risk in the midst of a pandemic.
I can't imagine why they have a credibility gap."
9315,Someone refresh my memory. Were there mask mandates during the 2009 Swine Flu pandemic? Were schools shut down since it affected young people a lot more than any other age group?
9316,"Medicaid is a lifeline for families navigating this pandemic, especially across rural America. The next #COVID19 relief package must #FundMedicaid to #ProtectOurCare and ensure all Americans in every corner of our Nation have access to affordable health care during this pandemic. https://t.co/UwE0FEew0X"
9317,HELLO! — like you want MY time? mid-day?! DURING A PANDEMIC — and didn’t at least offer up a food suggestion?! blocked lmao https://t.co/kwPgsUKLB2
9318,"@LFC_Bern @amand_amaclean @SpaceForceDoD @30thSpaceWing @BLMNational in case you haven't noticed, there's a fucking global pandemic"
9319,y’all are mad at people collecting unemployment simply for being unemployed during a pandemic. redirect that anger towards your employers and the government.
9320,Sturgeon has had the cheek to accuse Boris of playing politics with the pandemic. She has been doing exactly that for months. Tartan hypocrite.
9321,Taylor Swift out here really doing the most during a pandemic https://t.co/nX1qBVvwgt
9322,"After 5 months of this pandemic outbreak, if your family is safe and healthy, you have food on the table, your job is secure; you're better than millions so thank Allah swt. 

May Allah swt keep all of you healthy, happy and safe."
9323,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9324,This pandemic got y’all pocket watching everybody and ion like that 🤣.
9325,My Relatives in Wuhan Survived. My Uncle in New York Did Not. #COVID19 That is why the U.S. should learn from #China on combating the pandemic. It is high time to stop politizing the virus. https://t.co/Jdkn6rPVKg
9326,"It’s funny how Democrats &amp;Republicans can join forces w/out hesitation to enrich the military industrial complex, but go on months long recess without addressing the needs of the poor, working poor &amp; barely middle class during a global pandemic. Ladies and Gentlemen: The Congress https://t.co/sFv8kliIAw"
9327,"@narendramodi So India will now partner with US to help the world bounce back after pandemic ?? Would have been grateful if you could have saved lives of migrant labour’s, farmers and people who lost their jobs. Your image building excercise has ruined the nation"
9328,"the person to blame for you working an $11/hr job during a pandemic with no hazard pay isn’t the mother of three getting $600 of unemployment a week, it’s the guy who just made an extra $2 billion while you took ur lunch break"
9329,What level of evil do you have to be to loot relief funds during a pandemic?
9330,"#عیدپراحتیاط
Avoid gatherings especially in pandemic times.
@Team4Pakistan @MahnoorPK_ https://t.co/zizWbKD9O4"
